[2026-07-24 19:09:07] DL2: downloading shear_flow/train
DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0     1     1  --:--:-- --:--:-- --:--:--     0      
--  --      0     0     1     1  --:--:--  0:00:01 --:--:--     0      
--  --      0     0     1     1  --:--:--  0:00:03 --:--:--     0      
--  --      0     0     1     1  --:--:--  0:00:04 --:--:--     0      
100 --    571     0     1     1   0:00:05  0:00:05 --:--:--    96      
100 --    571     0     1     0   0:00:07  0:00:07 --:--:--    76     
DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0    28    28  --:--:--  0:00:04 --:--:--     0      
--  --      0     0    28    28  --:--:--  0:00:05 --:--:--     0      
--  --      0     0    28    28  --:--:--  0:00:06 --:--:--     0      
--  --      0     0    28    28  --:--:--  0:00:07 --:--:--     0      
--  --   737k     0    28    28  --:--:--  0:00:08 --:--:-- 88588      
  0 --  50.7M     0    28    28  32:46:47  0:00:13 32:46:34 3887k      
  0 --   167M     0    28    28  12:02:19  0:00:16 12:02:03 10.3M      
  0 --   198M     0    28    28  10:59:23  0:00:17 10:59:05 11.3M      
  0 --   247M     0    28    28   9:46:04  0:00:19  9:45:45 12.7M      
  0 --   336M     0    28    28   6:55:25  0:00:22  6:55:06 17.9M      
  0 --   408M     0    28    28   6:02:12  0:00:25  6:01:52 20.6M      
  0 --   445M     0    28    28   5:24:35  0:00:26  5:24:16 23.0M      
  0 --   467M     0    28    28   5:12:43  0:00:27  5:12:23 23.8M      
  0 --   493M     0    28    28   4:53:13  0:00:27  4:52:54 25.4M      
  0 --   507M     0    28    28   4:07:54  0:00:28  4:07:38 30.1M      
  0 --   516M     0    28    28   4:34:31  0:00:29  4:34:12 27.1M      
  0 --   524M     0    28    28   4:35:31  0:00:29  4:35:12 27.0M      
  0 --   531M     0    28    28   4:38:28  0:00:30  4:38:08 26.8M      
  0 --   539M     0    28    28   4:41:56  0:00:30  4:41:36 26.4M      
  0 --   547M     0    28    28   5:08:46  0:00:31  5:08:23 24.1M      
  0 --   557M     0    28    28   6:05:31  0:00:31  6:05:04 20.4M      
  0 --   571M     0    28    28   6:33:46  0:00:32  6:33:16 18.9M      
  0 --   582M     0    28    28   7:24:11  0:00:33  7:23:36 16.8M      
  0 --   597M     0    28    28   7:39:38  0:00:34  7:39:02 16.2M      
  0 --   605M     0    28    28   7:42:57  0:00:34  7:42:20 16.1M      
  0 --   614M     0    28    28   7:36:32  0:00:35  7:35:54 16.3M      
  0 --   623M     0    28    28   7:31:02  0:00:35  7:30:25 16.5M      
  0 --   631M     0    28    28   7:26:28  0:00:36  7:25:50 16.7M      
  0 --   640M     0    28    28   7:22:39  0:00:36  7:22:01 16.8M      
  0 --   649M     0    28    28   7:20:53  0:00:37  7:20:14 16.9M      
  0 --   658M     0    28    28   7:17:19  0:00:37  7:16:40 17.0M      
  0 --   667M     0    28    28   7:15:25  0:00:38  7:14:46 17.1M      
  0 --   679M     0    28    28   7:15:33  0:00:38  7:14:54 17.1M      
  0 --   705M     0    28    28   7:15:07  0:00:40  7:14:25 17.1M      
  0 --   716M     0    28    28   7:27:42  0:00:41  7:26:59 16.6M      
  0 --   738M     0    28    28   7:39:14  0:00:42  7:38:29 16.2M      
  0 --   749M     0    28    28   7:56:53  0:00:43  7:56:05 15.6M      
  0 --   763M     0    28    28   7:49:17  0:00:44  7:48:29 15.9M      
  0 --   781M     0    28    28   7:58:15  0:00:45  7:57:25 15.6M      
  0 --   805M     0    28    28   7:52:37  0:00:46  7:51:46 15.7M      
  0 --   821M     0    28    28   7:52:24  0:00:47  7:51:32 15.8M      
  0 --   841M     0    28    28   7:49:23  0:00:49  7:48:30 15.9M      
  0 --   855M     0    28    28   7:52:49  0:00:49  7:51:55 15.7M      
  0 --   874M     0    28    28   7:46:40  0:00:51  7:45:46 15.9M      
  0 --   893M     0    28    28   7:31:20  0:00:52  7:30:26 16.5M      
  0 --   915M     0    28    28   7:17:20  0:00:53  7:16:27 17.0M      
  0 --   931M     0    28    28   7:20:04  0:00:54  7:19:09 16.9M      
  0 --   943M     0    28    28   7:13:15  0:00:54  7:12:21 17.2M      
  0 --   972M     0    28    28   7:15:01  0:00:56  7:14:04 17.1M      
  0 --  1015M     0    28    28   7:14:55  0:00:59  7:13:56 17.1M      
  0 --  1055M     0    28    28   7:05:34  0:01:01  7:04:33 17.5M      
  0 --  1074M     0    28    28   6:56:57  0:01:02  6:55:57 17.9M      
  0 --  1134M     0    28    28   6:44:56  0:01:05  6:43:54 18.4M      
  0 --  1160M     0    28    28   6:35:43  0:01:06  6:34:41 18.8M      
  0 --  1188M     0    28    28   6:18:32  0:01:07  6:17:32 19.7M      
  0 --  1211M     0    28    28   6:08:11  0:01:08  6:07:12 20.2M      
  0 --  1226M     0    28    28   5:58:12  0:01:08  5:57:13 20.8M      
  0 --  1246M     0    28    28   5:46:34  0:01:09  5:45:36 21.5M      
  0 --  1291M     0    28    28   5:09:02  0:01:10  5:08:08 24.1M      
  0 --  1415M     0    28    28   4:27:42  0:01:14  4:26:52 27.8M      
  0 --  1481M     0    28    28   4:04:37  0:01:15  4:03:49 30.5M      
  0 --  1571M     0    28    28   3:30:02  0:01:17  3:29:17 35.5M      
  0 --  1742M     0    28    28   3:12:48  0:01:21  3:12:03 38.7M      
  0 --  1864M     0    28    28   2:57:23  0:01:23  2:56:39 42.0M      
  0 --  1963M     0    28    28   2:57:39  0:01:25  2:56:52 42.0M      
  0 --  2021M     0    28    28   2:59:44  0:01:27  2:58:55 41.5M      
  0 --  2131M     0    28    28   2:53:30  0:01:29  2:52:41 43.0M      
  0 --  2167M     0    28    28   2:51:04  0:01:30  2:50:14 43.6M      
  0 --  2274M     0    28    28   2:45:44  0:01:33  2:44:54 45.0M      
  0 --  2314M     0    28    28   2:47:07  0:01:34  2:46:16 44.6M      
  0 --  2410M     0    28    28   2:44:20  0:01:35  2:43:27 45.4M      
  0 --  2429M     0    28    28   2:46:33  0:01:36  2:45:39 44.8M      
  0 --  2499M     0    28    28   2:56:14  0:01:38  2:55:15 42.3M      
  0 --  2576M     0    28    28   2:58:29  0:01:40  2:57:27 41.8M      
  0 --  2657M     0    28    28   2:47:53  0:01:41  2:46:53 44.4M      
  0 --  2757M     0    28    28   3:06:26  0:01:45  3:05:17 40.0M      
  0 --  2900M     0    28    28   2:56:27  0:01:47  2:55:18 42.3M      
  0 --  2987M     0    28    28   2:53:27  0:01:49  2:52:18 43.0M      
  0 --  3062M     0    28    28   3:01:25  0:01:52  3:00:11 41.1M      
  0 --  3187M     0    28    28   3:03:02  0:01:54  3:01:44 40.7M      
  0 --  3307M     0    28    28   2:54:38  0:01:57  2:53:21 42.7M      
  0 --  3354M     0    28    28   2:54:13  0:01:58  2:52:55 42.8M      
  0 --  3510M     0    28    28   2:47:42  0:02:01  2:46:23 44.5M      
  0 --  3633M     0    28    28   2:48:03  0:02:03  2:46:42 44.4M      
  0 --  3715M     0    28    28   2:38:29  0:02:05  2:37:10 47.1M      
  0 --  3789M     0    28    28   2:47:41  0:02:07  2:46:15 44.5M      
  0 --  3935M     0    28    28   2:52:24  0:02:11  2:50:53 43.3M      
  0 --  4043M     0    28    28   2:51:02  0:02:14  2:49:29 43.6M      
  0 --  4092M     0    28    28   3:03:20  0:02:17  3:01:39 40.7M      
  0 --  4162M     0    28    28   3:10:56  0:02:18  3:09:09 39.1M      
  0 --  4208M     0    28    28   3:17:29  0:02:20  3:15:37 37.8M      
  0 --  4258M     0    28    28   3:26:31  0:02:22  3:24:33 36.1M      
  0 --  4307M     0    28    28   3:38:52  0:02:23  3:36:46 34.1M      
  0 --  4347M     0    28    28   3:47:42  0:02:25  3:45:29 32.7M      
  0 --  4395M     0    28    28   3:53:15  0:02:26  3:50:58 32.0M      
  0 --  4461M     0    28    28   4:08:37  0:02:29  4:06:08 30.0M      
  1 --  4543M     0    28    28   4:21:51  0:02:32  4:19:12 28.5M      
  1 --  4607M     0    28    28   4:00:34  0:02:33  3:58:05 31.0M      
  1 --  4662M     0    28    28   3:59:22  0:02:34  3:56:52 31.1M      
  1 --  4680M     0    28    28   3:53:04  0:02:35  3:50:38 32.0M      
  1 --  4699M     0    28    28   3:52:52  0:02:35  3:50:26 32.0M      
  1 --  4748M     0    28    28   3:54:01  0:02:37  3:51:32 31.9M      
  1 --  4796M     0    28    28   3:40:49  0:02:38  3:38:27 33.8M      
