dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: jepa, 34.4M trainable params
step 50/5000 lr=9.80e-07 loss=0.5064 target_feat_std=0.9163 context_feat_std=0.9143 pred_feat_std=0.2031 clips/s=54.7
step 100/5000 lr=1.98e-06 loss=0.4457 target_feat_std=0.9173 context_feat_std=0.8999 pred_feat_std=0.1934 clips/s=166.3
step 150/5000 lr=2.98e-06 loss=0.4034 target_feat_std=0.9078 context_feat_std=0.8383 pred_feat_std=0.1650 clips/s=184.7
step 200/5000 lr=3.98e-06 loss=0.3823 target_feat_std=0.8999 context_feat_std=0.7917 pred_feat_std=0.1299 clips/s=203.8
step 250/5000 lr=4.98e-06 loss=0.3638 target_feat_std=0.8913 context_feat_std=0.8101 pred_feat_std=0.1206 clips/s=145.7
step 300/5000 lr=5.98e-06 loss=0.3556 target_feat_std=0.8910 context_feat_std=0.8174 pred_feat_std=0.1562 clips/s=201.6
step 350/5000 lr=6.98e-06 loss=0.3279 target_feat_std=0.8666 context_feat_std=0.7732 pred_feat_std=0.1973 clips/s=200.1
step 400/5000 lr=7.98e-06 loss=0.3156 target_feat_std=0.8587 context_feat_std=0.7696 pred_feat_std=0.2139 clips/s=193.3
step 450/5000 lr=8.98e-06 loss=0.2824 target_feat_std=0.8190 context_feat_std=0.7374 pred_feat_std=0.2305 clips/s=161.0
step 500/5000 lr=9.98e-06 loss=0.2866 target_feat_std=0.8284 context_feat_std=0.7768 pred_feat_std=0.2412 clips/s=199.2
step 550/5000 lr=1.10e-05 loss=0.2753 target_feat_std=0.8166 context_feat_std=0.7850 pred_feat_std=0.2500 clips/s=208.7
step 600/5000 lr=1.20e-05 loss=0.2928 target_feat_std=0.8357 context_feat_std=0.8135 pred_feat_std=0.2471 clips/s=187.5
step 650/5000 lr=1.30e-05 loss=0.2640 target_feat_std=0.8023 context_feat_std=0.7939 pred_feat_std=0.2656 clips/s=136.5
step 700/5000 lr=1.40e-05 loss=0.2698 target_feat_std=0.8131 context_feat_std=0.8038 pred_feat_std=0.2637 clips/s=217.3
step 750/5000 lr=1.50e-05 loss=0.2770 target_feat_std=0.8163 context_feat_std=0.8103 pred_feat_std=0.2520 clips/s=184.3
step 800/5000 lr=1.60e-05 loss=0.2774 target_feat_std=0.8163 context_feat_std=0.8175 pred_feat_std=0.2490 clips/s=212.2
step 850/5000 lr=1.70e-05 loss=0.2645 target_feat_std=0.8031 context_feat_std=0.8147 pred_feat_std=0.2695 clips/s=155.6
