dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: mae, 26.4M trainable params
step 50/5000 lr=4.90e-07 loss=1.3311 clips/s=71.1
step 100/5000 lr=9.90e-07 loss=1.3186 clips/s=220.9
step 150/5000 lr=1.49e-06 loss=1.2992 clips/s=212.7
step 200/5000 lr=1.99e-06 loss=1.2764 clips/s=199.4
step 250/5000 lr=2.49e-06 loss=1.2510 clips/s=115.6
step 300/5000 lr=2.99e-06 loss=1.2270 clips/s=190.7
step 350/5000 lr=3.49e-06 loss=1.2031 clips/s=208.6
step 400/5000 lr=3.99e-06 loss=1.1800 clips/s=168.8
step 450/5000 lr=4.49e-06 loss=1.1564 clips/s=43.5
step 500/5000 lr=4.99e-06 loss=1.1337 clips/s=189.8
step 550/5000 lr=5.49e-06 loss=1.1110 clips/s=181.2
step 600/5000 lr=5.99e-06 loss=1.0903 clips/s=192.0
step 650/5000 lr=6.49e-06 loss=1.0715 clips/s=38.7
step 700/5000 lr=6.99e-06 loss=1.0550 clips/s=208.2
step 750/5000 lr=7.49e-06 loss=1.0406 clips/s=214.3
step 800/5000 lr=7.99e-06 loss=1.0290 clips/s=145.0
step 850/5000 lr=8.49e-06 loss=1.0197 clips/s=104.5
step 900/5000 lr=8.99e-06 loss=1.0122 clips/s=157.2
step 950/5000 lr=9.49e-06 loss=1.0076 clips/s=194.3
step 1000/5000 lr=9.99e-06 loss=1.0042 clips/s=191.4
step 1050/5000 lr=1.05e-05 loss=1.0015 clips/s=139.7
step 1100/5000 lr=1.10e-05 loss=0.9988 clips/s=171.7
step 1150/5000 lr=1.15e-05 loss=0.9991 clips/s=201.4
step 1200/5000 lr=1.20e-05 loss=0.9963 clips/s=169.1
step 1250/5000 lr=1.25e-05 loss=0.9929 clips/s=137.3
step 1300/5000 lr=1.30e-05 loss=0.9848 clips/s=161.8
step 1350/5000 lr=1.35e-05 loss=0.9827 clips/s=200.6
step 1400/5000 lr=1.40e-05 loss=0.9749 clips/s=168.5
step 1450/5000 lr=1.45e-05 loss=0.9664 clips/s=177.2
step 1500/5000 lr=1.50e-05 loss=0.9595 clips/s=192.4
step 1550/5000 lr=1.55e-05 loss=0.9530 clips/s=162.9
step 1600/5000 lr=1.60e-05 loss=0.9466 clips/s=197.4
step 1650/5000 lr=1.65e-05 loss=0.9404 clips/s=161.0
step 1700/5000 lr=1.70e-05 loss=0.9137 clips/s=141.7
step 1750/5000 lr=1.75e-05 loss=0.9137 clips/s=197.0
step 1800/5000 lr=1.80e-05 loss=0.8967 clips/s=195.7
step 1850/5000 lr=1.85e-05 loss=0.8889 clips/s=135.0
step 1900/5000 lr=1.90e-05 loss=0.8707 clips/s=212.6
step 1950/5000 lr=1.95e-05 loss=0.8711 clips/s=187.1
step 2000/5000 lr=2.00e-05 loss=0.8483 clips/s=168.5
step 2050/5000 lr=2.05e-05 loss=0.8349 clips/s=166.6
step 2100/5000 lr=2.10e-05 loss=0.8241 clips/s=181.1
step 2150/5000 lr=2.15e-05 loss=0.8404 clips/s=191.0
step 2200/5000 lr=2.20e-05 loss=0.8022 clips/s=200.5
step 2250/5000 lr=2.25e-05 loss=0.8182 clips/s=135.9
step 2300/5000 lr=2.30e-05 loss=0.8020 clips/s=234.4
step 2350/5000 lr=2.35e-05 loss=0.7704 clips/s=202.9
step 2400/5000 lr=2.40e-05 loss=0.7577 clips/s=151.7
step 2450/5000 lr=2.45e-05 loss=0.7785 clips/s=136.2
step 2500/5000 lr=2.50e-05 loss=0.7668 clips/s=239.0
step 2550/5000 lr=2.55e-05 loss=0.7734 clips/s=168.6
step 2600/5000 lr=2.60e-05 loss=0.7446 clips/s=187.0
step 2650/5000 lr=2.65e-05 loss=0.7203 clips/s=154.3
step 2700/5000 lr=2.70e-05 loss=0.7262 clips/s=185.8
step 2750/5000 lr=2.75e-05 loss=0.7785 clips/s=154.0
step 2800/5000 lr=2.80e-05 loss=0.7487 clips/s=165.4
step 2850/5000 lr=2.85e-05 loss=0.7761 clips/s=163.3
step 2900/5000 lr=2.90e-05 loss=0.7187 clips/s=201.7
step 2950/5000 lr=2.95e-05 loss=0.7420 clips/s=150.1
step 3000/5000 lr=3.00e-05 loss=0.7020 clips/s=204.5
step 3050/5000 lr=3.05e-05 loss=0.7033 clips/s=144.8
step 3100/5000 lr=3.10e-05 loss=0.7302 clips/s=212.5
step 3150/5000 lr=3.15e-05 loss=0.7315 clips/s=208.1
step 3200/5000 lr=3.20e-05 loss=0.7011 clips/s=210.1
step 3250/5000 lr=3.25e-05 loss=0.6752 clips/s=150.3
step 3300/5000 lr=3.30e-05 loss=0.6822 clips/s=220.9
step 3350/5000 lr=3.35e-05 loss=0.6262 clips/s=202.6
step 3400/5000 lr=3.40e-05 loss=0.6865 clips/s=160.1
