objective	family	representation	method	target_offset	target	sigma	metric	mean	std	n	status
jepa	physics	pooled	mlp	0	buoyancy_gradient_energy		test_vrmse	0.12717593313167358		1	ok
jepa	physics	pooled	mlp	0	buoyancy_gradient_energy		test_r2	0.9838262820320881		1	ok
jepa	physics	pooled	mlp	0	buoyancy_gradient_energy		test_pearson_r	0.9927810442703446		1	ok
jepa	physics	pooled	mlp	0	buoyancy_gradient_energy		test_mse	105.99594518195421		1	ok
jepa	physics	pooled	mlp	0	buoyancy_gradient_energy		test_log_mse	2.0252892518800083		1	ok
jepa	physics	pooled	ridge	0	buoyancy_gradient_energy		test_vrmse	0.2838388966628094		1	ok
jepa	physics	pooled	ridge	0	buoyancy_gradient_energy		test_r2	0.919435480741239		1	ok
jepa	physics	pooled	ridge	0	buoyancy_gradient_energy		test_pearson_r	0.9592266959775713		1	ok
jepa	physics	pooled	ridge	0	buoyancy_gradient_energy		test_mse	527.9869714498683		1	ok
jepa	physics	pooled	ridge	0	buoyancy_gradient_energy		test_log_mse	2.722623206061767		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_gradient_energy		test_vrmse	0.2548732053681743		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_gradient_energy		test_r2	0.9350396491853524		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_gradient_energy		test_pearson_r	0.9674779519184948		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_gradient_energy		test_mse	425.72362134733373		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_gradient_energy		test_log_mse	2.6291277477486568		1	ok
jepa	physics	pooled	selected	0	buoyancy_gradient_energy		test_vrmse	0.12717593313167358		1	ok
jepa	physics	pooled	selected	0	buoyancy_gradient_energy		test_r2	0.9838262820320881		1	ok
jepa	physics	pooled	selected	0	buoyancy_gradient_energy		test_pearson_r	0.9927810442703446		1	ok
jepa	physics	pooled	selected	0	buoyancy_gradient_energy		test_mse	105.99594518195421		1	ok
jepa	physics	pooled	selected	0	buoyancy_gradient_energy		test_log_mse	2.0252892518800083		1	ok
jepa	physics	pooled	mlp	0	buoyancy_laplacian_magnitude		test_vrmse	0.10115944247625035		1	ok
jepa	physics	pooled	mlp	0	buoyancy_laplacian_magnitude		test_r2	0.9897667671978942		1	ok
jepa	physics	pooled	mlp	0	buoyancy_laplacian_magnitude		test_pearson_r	0.9956681130465384		1	ok
jepa	physics	pooled	mlp	0	buoyancy_laplacian_magnitude		test_mse	11010.9113215336		1	ok
jepa	physics	pooled	mlp	0	buoyancy_laplacian_magnitude		test_log_mse	4.041823264978502		1	ok
jepa	physics	pooled	ridge	0	buoyancy_laplacian_magnitude		test_vrmse	0.24021241586289024		1	ok
jepa	physics	pooled	ridge	0	buoyancy_laplacian_magnitude		test_r2	0.9422979952653139		1	ok
jepa	physics	pooled	ridge	0	buoyancy_laplacian_magnitude		test_pearson_r	0.9708717908105824		1	ok
jepa	physics	pooled	ridge	0	buoyancy_laplacian_magnitude		test_mse	62087.091097702534		1	ok
jepa	physics	pooled	ridge	0	buoyancy_laplacian_magnitude		test_log_mse	4.7930013127722155		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_laplacian_magnitude		test_vrmse	0.2110697614385814		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_laplacian_magnitude		test_r2	0.9554495558062603		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_laplacian_magnitude		test_pearson_r	0.977698165483418		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_laplacian_magnitude		test_mse	47936.07258219073		1	ok
jepa	physics	pooled	ridge_plus_control	0	buoyancy_laplacian_magnitude		test_log_mse	4.680662449268906		1	ok
jepa	physics	pooled	selected	0	buoyancy_laplacian_magnitude		test_vrmse	0.10115944247625035		1	ok
jepa	physics	pooled	selected	0	buoyancy_laplacian_magnitude		test_r2	0.9897667671978942		1	ok
jepa	physics	pooled	selected	0	buoyancy_laplacian_magnitude		test_pearson_r	0.9956681130465384		1	ok
jepa	physics	pooled	selected	0	buoyancy_laplacian_magnitude		test_mse	11010.9113215336		1	ok
jepa	physics	pooled	selected	0	buoyancy_laplacian_magnitude		test_log_mse	4.041823264978502		1	ok
jepa	physics	pooled	mlp	0	convective_flux		test_vrmse	0.12223849151735852		1	ok
jepa	physics	pooled	mlp	0	convective_flux		test_r2	0.9850577511915607		1	ok
jepa	physics	pooled	mlp	0	convective_flux		test_pearson_r	0.9926046422489468		1	ok
jepa	physics	pooled	mlp	0	convective_flux		test_mse	2.6661195526257135e-07		1	ok
jepa	physics	pooled	mlp	0	convective_flux		test_log_mse	-6.574120380097884		1	ok
jepa	physics	pooled	ridge	0	convective_flux		test_vrmse	0.13459844604089843		1	ok
jepa	physics	pooled	ridge	0	convective_flux		test_r2	0.9818832583233753		1	ok
jepa	physics	pooled	ridge	0	convective_flux		test_pearson_r	0.9909199526191454		1	ok
jepa	physics	pooled	ridge	0	convective_flux		test_mse	3.2325388121390174e-07		1	ok
jepa	physics	pooled	ridge	0	convective_flux		test_log_mse	-6.490456251970658		1	ok
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_vrmse	0.13074226505516595		1	ok
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_r2	0.9829064601282447		1	ok
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_pearson_r	0.9914307352653553		1	ok
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_mse	3.0499706878079984e-07		1	ok
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_log_mse	-6.515704334484169		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_vrmse	0.12223849151735852		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_r2	0.9850577511915607		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_pearson_r	0.9926046422489468		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_mse	2.6661195526257135e-07		1	ok
