building probe dataset: 1 offsets/traj, horizon=16, max_traj=300
300 samples total
  enstrophy: mean=0.0002 std=0.0004
  tracer_grad: mean=0.0017 std=0.0019
  advective_flux: mean=-0.0000 std=0.0000
  strain_rate_mag: mean=0.0180 std=0.0060
  okubo_weiss: mean=0.0014 std=0.0014
  pressure_grad_mag: mean=0.0045 std=0.0029
  tracer_laplacian: mean=0.0023 std=0.0022
  future_enstrophy: mean=0.0017 std=0.0022

=== checkpoints/shear_flow_jepa.pt ===
  block_1      enstrophy=0.988  tracer_grad=0.991  advective_flux=0.643  strain_rate_mag=0.998  okubo_weiss=0.997  pressure_grad_mag=0.995  tracer_laplacian=0.985  future_enstrophy=0.955
  block_2      enstrophy=0.991  tracer_grad=0.994  advective_flux=0.747  strain_rate_mag=0.999  okubo_weiss=0.998  pressure_grad_mag=0.999  tracer_laplacian=0.988  future_enstrophy=0.963
  block_3      enstrophy=0.992  tracer_grad=0.993  advective_flux=0.775  strain_rate_mag=0.999  okubo_weiss=0.998  pressure_grad_mag=0.999  tracer_laplacian=0.988  future_enstrophy=0.979
  block_4      enstrophy=0.993  tracer_grad=0.992  advective_flux=0.770  strain_rate_mag=1.000  okubo_weiss=0.998  pressure_grad_mag=0.999  tracer_laplacian=0.987  future_enstrophy=0.975
  block_5      enstrophy=0.992  tracer_grad=0.992  advective_flux=0.768  strain_rate_mag=1.000  okubo_weiss=0.998  pressure_grad_mag=0.999  tracer_laplacian=0.987  future_enstrophy=0.974
  block_6      enstrophy=0.987  tracer_grad=0.988  advective_flux=0.759  strain_rate_mag=0.999  okubo_weiss=0.997  pressure_grad_mag=0.999  tracer_laplacian=0.980  future_enstrophy=0.976
  block_7      enstrophy=0.982  tracer_grad=0.987  advective_flux=0.746  strain_rate_mag=0.999  okubo_weiss=0.997  pressure_grad_mag=0.998  tracer_laplacian=0.980  future_enstrophy=0.975
  block_8      enstrophy=0.981  tracer_grad=0.985  advective_flux=0.747  strain_rate_mag=0.999  okubo_weiss=0.997  pressure_grad_mag=0.998  tracer_laplacian=0.977  future_enstrophy=0.972
  block_9      enstrophy=0.978  tracer_grad=0.985  advective_flux=0.729  strain_rate_mag=0.999  okubo_weiss=0.996  pressure_grad_mag=0.998  tracer_laplacian=0.976  future_enstrophy=0.973
  block_10     enstrophy=0.976  tracer_grad=0.985  advective_flux=0.732  strain_rate_mag=0.999  okubo_weiss=0.995  pressure_grad_mag=0.998  tracer_laplacian=0.976  future_enstrophy=0.971
  block_11     enstrophy=0.972  tracer_grad=0.982  advective_flux=0.719  strain_rate_mag=0.999  okubo_weiss=0.995  pressure_grad_mag=0.998  tracer_laplacian=0.973  future_enstrophy=0.970
  block_12     enstrophy=0.975  tracer_grad=0.983  advective_flux=0.719  strain_rate_mag=0.999  okubo_weiss=0.995  pressure_grad_mag=0.998  tracer_laplacian=0.974  future_enstrophy=0.970
  final_norm   enstrophy=0.976  tracer_grad=0.983  advective_flux=0.718  strain_rate_mag=0.999  okubo_weiss=0.996  pressure_grad_mag=0.998  tracer_laplacian=0.973  future_enstrophy=0.972

=== checkpoints/shear_flow_mae.pt ===
  block_1      enstrophy=0.980  tracer_grad=0.992  advective_flux=0.686  strain_rate_mag=0.999  okubo_weiss=0.996  pressure_grad_mag=0.997  tracer_laplacian=0.986  future_enstrophy=0.960
