dataset,method,step,loss,lr,grad_norm
active_matter,jepa,50,0.5063567757606506,9.8e-07,0.7651522159576416
active_matter,jepa,100,0.4456900358200073,1.98e-06,0.40367206931114197
active_matter,jepa,150,0.4033862352371216,2.98e-06,0.18067149817943573
active_matter,jepa,200,0.38225916028022766,3.98e-06,0.09459418058395386
active_matter,jepa,250,0.36375102400779724,4.980000000000001e-06,0.060991350561380386
active_matter,jepa,300,0.3554701805114746,5.98e-06,0.03759931027889252
active_matter,jepa,350,0.3276798129081726,6.98e-06,0.058014918118715286
active_matter,jepa,400,0.31513434648513794,7.980000000000002e-06,0.060367558151483536
active_matter,jepa,450,0.28167837858200073,8.98e-06,0.05313165858387947
active_matter,jepa,500,0.2858128249645233,9.98e-06,0.052093084901571274
active_matter,jepa,550,0.2744700610637665,1.0980000000000002e-05,0.09417500346899033
active_matter,jepa,600,0.29209479689598083,1.198e-05,0.08277114480733871
active_matter,jepa,650,0.2633246183395386,1.298e-05,0.12523679435253143
active_matter,jepa,700,0.2692109942436218,1.398e-05,0.14368410408496857
active_matter,jepa,750,0.27652987837791443,1.4980000000000002e-05,0.08781860023736954
active_matter,jepa,800,0.27706995606422424,1.598e-05,0.10777723044157028
active_matter,jepa,850,0.2642207145690918,1.698e-05,0.13390357792377472
active_matter,jepa,900,0.25014299154281616,1.798e-05,0.16175183653831482
active_matter,jepa,950,0.2588900923728943,1.898e-05,0.18053291738033295
active_matter,jepa,1000,0.23481474816799164,1.9980000000000002e-05,0.19443123042583466
active_matter,jepa,1050,0.22926165163516998,2.0980000000000002e-05,0.1473376452922821
active_matter,jepa,1100,0.22701546549797058,2.1980000000000003e-05,0.20012272894382477
active_matter,jepa,1150,0.21043285727500916,2.298e-05,0.1536777913570404
active_matter,jepa,1200,0.21507294476032257,2.398e-05,0.23206382989883423
active_matter,jepa,1250,0.21650010347366333,2.498e-05,0.29459527134895325
active_matter,jepa,1300,0.19018691778182983,2.5980000000000002e-05,0.3575519323348999
active_matter,jepa,1350,0.19655588269233704,2.6980000000000003e-05,0.2433895766735077
active_matter,jepa,1400,0.21546564996242523,2.798e-05,0.18677425384521484
active_matter,jepa,1450,0.19537252187728882,2.898e-05,0.2070716917514801
active_matter,jepa,1500,0.18821801245212555,2.998e-05,0.3601556122303009
active_matter,jepa,1550,0.18031808733940125,3.0980000000000005e-05,0.2578766345977783
active_matter,jepa,1600,0.17612877488136292,3.198e-05,0.15588414669036865
active_matter,jepa,1650,0.1772099882364273,3.2980000000000006e-05,0.2466745525598526
active_matter,jepa,1700,0.17004959285259247,3.3979999999999997e-05,0.21201585233211517
active_matter,jepa,1750,0.1682123839855194,3.498e-05,0.23365509510040283
active_matter,jepa,1800,0.15282712876796722,3.598e-05,0.30173027515411377
active_matter,jepa,1850,0.1410933881998062,3.698e-05,0.20077654719352722
active_matter,jepa,1900,0.15817829966545105,3.7980000000000006e-05,0.20506000518798828
active_matter,jepa,1950,0.14260587096214294,3.898e-05,0.29772576689720154
active_matter,jepa,2000,0.13856801390647888,3.998000000000001e-05,0.29772958159446716
active_matter,jepa,2050,0.13685506582260132,4.098e-05,0.29082760214805603
active_matter,jepa,2100,0.12868991494178772,4.198e-05,0.2999568283557892
active_matter,jepa,2150,0.14254164695739746,4.298e-05,0.30832332372665405
active_matter,jepa,2200,0.13182568550109863,4.398e-05,0.3444749414920807
active_matter,jepa,2250,0.1344248205423355,4.4980000000000006e-05,0.29400935769081116
active_matter,jepa,2300,0.14383520185947418,4.5980000000000004e-05,0.2675784230232239
active_matter,jepa,2350,0.12228192389011383,4.698e-05,0.308917373418808
active_matter,jepa,2400,0.12835130095481873,4.798e-05,0.30984947085380554
active_matter,jepa,2450,0.1333741992712021,4.898e-05,0.3337939381599426
active_matter,jepa,2500,0.11409073323011398,4.998e-05,0.27020445466041565
active_matter,jepa,2550,0.11633219569921494,5.098e-05,0.24966564774513245
active_matter,jepa,2600,0.10826018452644348,5.198000000000001e-05,0.2972300946712494
active_matter,jepa,2650,0.11195085197687149,5.2980000000000004e-05,0.39482060074806213
active_matter,jepa,2700,0.10867258906364441,5.398000000000001e-05,0.33202293515205383
active_matter,jepa,2750,0.1132751926779747,5.4980000000000006e-05,0.3909207284450531
active_matter,jepa,2800,0.11674108356237411,5.598000000000001e-05,0.31777897477149963
active_matter,jepa,2850,0.11526097357273102,5.698e-05,0.40291827917099
active_matter,jepa,2900,0.10490137338638306,5.798e-05,0.28834280371665955
active_matter,jepa,2950,0.1129845455288887,5.898e-05,0.3170221149921417
active_matter,jepa,3000,0.11137977987527847,5.998e-05,0.3080790638923645
active_matter,jepa,3050,0.1098080649971962,6.098e-05,0.2750849425792694
